REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
09/2020,786810,9063000365006,16/09/2020,701549.13,0.18,0.18,,01/09/2020
09/2020,170098,5055000235002,14/07/2020,4487.21,0.05,0.07,,01/09/2020
09/2020,080002,0241000275000,04/09/2020,554305.38,0.90,0.90,,01/09/2020
09/2020,120259,8371000125000,30/08/2018,338050.68,20.27,262.57,,01/09/2020
09/2020,160065,9701028585005,28/12/2000,71393.82,74.09,8929.31,,01/09/2020
09/2020,785810,8849000135000,23/11/2013,436454.10,87.16,3657.76,,01/09/2020
09/2020,255017,2529000025004,03/04/2014,203000.00,38.41,1527.85,,01/09/2020
09/2020,160065,9701006705008,28/12/2000,68100.96,70.68,8517.47,,01/09/2020
09/2020,160392,8841004715006,11/05/2017,4690081.86,367.41,7673.68,,01/09/2020
09/2020,789300,7563007375008,22/11/2013,101627.73,36.45,1530.54,,01/09/2020
09/2020,373048,2531003205005,11/10/2001,117183.53,116.77,13513.63,,01/09/2020
09/2020,160065,9701022855000,28/12/2000,76245.82,79.13,9536.16,,01/09/2020
09/2020,443033,2537000045006,09/10/2001,751919.37,417.39,48318.98,,01/09/2020
09/2020,170021,9701052425004,09/03/2015,155207.55,45.11,1539.30,,01/09/2020
09/2020,193100,0271000025005,03/03/2015,1076.45,0.14,4.77,,01/09/2020
09/2020,170021,9701040125000,31/03/2020,1152531.19,27.91,92.71,,01/09/2020
09/2020,170062,2507000015008,09/07/2015,1232153.24,336.51,10796.82,,01/09/2020
09/2020,120259,8589000435004,18/07/2019,98295.56,6.02,45.71,,01/09/2020
09/2020,170021,9701030535001,04/08/2017,406988.10,66.74,1299.58,,01/09/2020
09/2020,193004,1719000025004,02/05/2019,631911.68,45.72,405.70,,01/09/2020
09/2020,193124,8847000025004,10/07/2019,124589.68,7.77,60.06,,01/09/2020
09/2020,255004,0291000035005,18/05/2017,8942.67,1.57,32.55,,01/09/2020
09/2020,170021,9701051575002,03/02/2015,331990.81,98.13,3403.70,,01/09/2020
09/2020,783602,2357000045008,30/10/2018,25537.52,1.41,16.79,,01/09/2020
09/2020,110404,9701049875002,15/03/2019,453495.65,35.94,347.72,,01/09/2020
09/2020,200119,8815000755004,30/01/2013,235147.04,52.56,2466.10,,01/09/2020
09/2020,170036,1123000025004,02/05/2016,746542.46,171.82,4659.60,,01/09/2020
09/2020,158416,5705001965002,10/12/2018,10360494.24,536.34,6037.02,,01/09/2020
09/2020,373031,0639000505009,09/08/2001,10312.68,10.37,1210.98,,01/09/2020
09/2020,255022,0035000065008,30/11/2015,68885.43,17.39,516.03,,01/09/2020
09/2020,160176,2559000025006,16/04/2013,3115474.33,677.40,30923.82,,01/09/2020
09/2020,170098,5371000085001,02/08/2018,439885.38,49.13,659.41,,01/09/2020
09/2020,762300,5801001145009,31/10/2019,63985.52,2.95,17.25,,01/09/2020
09/2020,110404,9701064595007,28/12/2007,251724.95,168.51,13129.93,,01/09/2020
09/2020,789000,7107002905002,11/07/2005,140000.00,111.88,10395.42,,01/09/2020
09/2020,753000,5927000015004,06/08/2018,1778356.04,197.60,2638.93,,01/09/2020
09/2020,752000,6001000295001,02/08/2017,1095965.06,180.06,3511.76,,01/09/2020
09/2020,110404,9701063135002,28/12/2007,179519.71,120.18,9363.72,,01/09/2020
09/2020,113801,2401003205007,01/07/2019,195172.42,12.44,97.91,,01/09/2020
09/2020,110404,9701063955000,28/12/2007,77053.25,51.58,4019.08,,01/09/2020
09/2020,154046,4921000165001,17/06/2016,141118.65,17.57,462.94,,01/09/2020
09/2020,255013,2897000015002,08/05/2019,10229.31,0.40,3.57,,01/09/2020
09/2020,193003,1441000675006,30/05/2018,2134646.59,258.11,3739.43,,01/09/2020
09/2020,160488,6861000065000,16/11/2004,1837489.28,852.73,82601.15,,01/09/2020
09/2020,120260,9701076415009,30/03/2016,332980.30,78.22,2164.29,,01/09/2020
09/2020,153052,9373007015007,31/10/2018,1921744.00,105.66,1259.64,,01/09/2020
09/2020,153052,9373007035008,30/10/2018,12055500.00,663.76,7924.57,,01/09/2020
09/2020,153052,9373007025002,30/10/2018,2434168.00,134.03,1600.08,,01/09/2020
09/2020,153052,9373001305003,31/10/2018,9588744.00,527.18,6285.10,,01/09/2020
09/2020,080009,5865000435000,23/12/2015,555927.28,138.45,4056.74,,01/09/2020
09/2020,785340,8161000455000,29/11/2015,79873.99,20.17,599.02,,01/09/2020
09/2020,785340,8161000405002,29/11/2015,100203.85,25.30,751.49,,01/09/2020
