REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC
01/2024,200128,9097000025005,22/06/2023,570000.00,9.81,37.92,
01/2024,373085,9613000165009,24/11/2023,1105.39,0.01,0.01,
01/2024,373040,0843000025008,30/10/2023,6503.21,0.05,0.08,
01/2024,373044,1219003575003,24/11/2023,6171.49,0.03,0.04,
01/2024,80002,0241000275000,04/09/2020,554305.38,101.41,2060.41,
01/2024,786810,9063000145006,16/09/2020,2036.45,0.20,4.13,
01/2024,120259,8371000125000,09/05/2022,2151932.07,110.03,1149.79,
01/2024,160065,9701028585005,28/12/2000,71393.82,89.51,12198.10,
01/2024,785810,8849000135000,23/11/2013,436454.10,134.14,8083.75,
01/2024,255017,2529000025004,27/05/2022,316870.44,15.73,159.80,
01/2024,160065,9701006705008,28/12/2000,68100.96,85.38,11635.49,
01/2024,160392,8841004715006,11/05/2017,4690081.86,757.58,30200.83,
01/2024,789300,7563007375008,22/11/2013,101627.73,56.09,3381.65,
01/2024,373048,2531003205005,11/10/2001,117183.53,141.90,18682.12,
01/2024,160065,9701022855000,28/12/2000,76245.82,95.59,13027.09,
01/2024,443033,2537000045006,09/10/2001,751919.37,507.21,66793.55,
01/2024,170021,9701052425004,09/03/2015,155207.55,74.76,3937.71,
01/2024,193100,0271000025005,03/03/2015,1076.45,0.23,12.18,
01/2024,170021,9701040125000,31/03/2020,1152531.19,237.80,5433.67,
01/2024,170062,2507000015008,09/07/2015,1232153.24,571.12,28957.59,
01/2024,120259,8589000435004,09/05/2022,431607.43,39.62,414.08,
01/2024,170021,9701030535001,04/08/2017,406988.10,142.76,5495.52,
01/2024,193004,1719000025004,03/03/2023,1812848.87,85.99,485.76,
01/2024,255004,0291000035005,18/05/2017,8942.67,3.24,128.83,
01/2024,170021,9701051575002,27/10/2020,1145276.36,200.49,3902.10,
01/2024,783602,2357000045008,05/11/2020,250000.00,24.19,467.23,
01/2024,110404,9701049875002,08/08/2023,453495.65,10.84,33.74,
01/2024,200119,8815000755004,30/01/2013,235147.04,78.06,5078.25,
01/2024,170036,1123000025004,02/05/2016,746542.46,312.91,14361.23,
01/2024,158416,5705001965002,29/11/2022,10218964.94,349.61,2504.09,
01/2024,373031,0639000505009,09/08/2001,10312.68,12.59,1669.64,
01/2024,255022,0035000065008,30/11/2015,68885.43,30.45,1473.29,
01/2024,160176,2559000025006,16/04/2013,3115474.33,1014.56,64760.78,
01/2024,170098,5371000085001,05/10/2020,439885.38,78.44,1554.62,
01/2024,762300,5801001145009,17/01/2023,63985.52,3.47,22.08,
01/2024,110404,9701064595007,28/12/2007,251724.95,219.77,20890.54,
01/2024,789000,7107002905002,09/02/2021,140000.00,22.32,396.60,
01/2024,753000,5927000015004,13/04/2021,1948235.32,292.31,4897.30,
01/2024,752000,6001000295001,02/08/2017,1095965.06,384.77,14823.69,
01/2024,110404,9701063135002,28/12/2007,179519.71,156.73,14898.26,
01/2024,113801,2401003205007,03/03/2023,527214.41,25.01,141.27,
01/2024,110404,9701063955000,28/12/2007,77053.25,67.27,6394.61,
01/2024,154046,4921000165001,28/11/2022,192842.34,6.62,47.48,
01/2024,255013,2897000015002,08/05/2019,10229.31,1.46,40.91,
01/2024,170199,9221000145003,03/10/2022,1352950.15,52.69,425.72,
01/2024,193003,1441000675006,03/03/2023,10377736.99,492.22,2780.73,
01/2024,160488,6861000065000,16/11/2004,1837489.28,1066.68,120958.06,
01/2024,120260,9701076415009,30/03/2016,332980.30,141.20,6555.80,
01/2024,153052,9373001305003,22/06/2021,27607737.35,2146.60,33540.64,
01/2024,80009,5865000435000,27/05/2023,2796000.00,97.23,416.39,
01/2024,785344,8161000455000,29/11/2015,79873.99,35.32,1709.46,
01/2024,785344,8161000405002,29/11/2015,100203.85,44.32,2144.56,
01/2024,170211,0255001855000,04/07/2023,367902.93,10.71,39.34,
01/2024,160219,8267000015005,08/06/2022,7851.80,0.68,6.83,
01/2024,400081,8105001645006,04/04/2019,2385507.41,620.80,17809.41,
01/2024,170053,2211000015007,05/09/2012,52650.00,32.54,2193.78,
01/2024,170199,9249000045009,27/12/2012,144424.25,86.82,5695.65,
01/2024,200356,6001016235003,20/12/2023,12000.00,0.03,0.03,
01/2024,443033,1559000085003,20/08/2001,146879.02,99.68,13207.97,
01/2024,170164,7731000035001,05/12/2022,14900000.00,400.89,2832.65,
01/2024,60001,9701049335008,04/12/2014,388376.05,192.57,10437.80,
01/2024,160065,9701048085008,01/12/2014,337105.08,167.29,9076.12,
01/2024,170021,9701041605006,23/10/2020,1247307.57,219.09,4278.32,
01/2024,170021,9701042105007,01/12/2014,280440.04,139.18,7550.49,
01/2024,170021,9701037275005,25/05/2020,1183130.20,234.42,5148.57,
01/2024,110404,9701036765009,09/08/2023,685372.45,16.28,50.42,
01/2024,110001,9701031875000,02/10/2019,408405.57,95.28,2455.10,
01/2024,170193,9047001995001,04/05/2015,245803.98,64.80,3354.39,
01/2024,170192,9047001865000,10/11/2020,891032.45,85.84,1651.21,
01/2024,160140,9047000305001,09/12/2020,7508137.45,705.20,13236.42,
01/2024,170067,2845000055001,19/09/2023,210715.10,3.72,9.09,
01/2024,158381,2785000515005,14/05/2018,14876038.28,2557.00,86756.68,
01/2024,153103,1761000105009,11/09/2023,102024780.00,1070.39,2751.93,
01/2024,120260,9701005405000,22/06/2022,3921189.12,186.18,1813.54,
01/2024,751500,5851000145001,30/11/2015,6321.89,1.56,75.30,
01/2024,90006,1389000015004,21/12/2022,9445905.87,549.32,3739.90,
01/2024,255006,1537000405007,27/11/2017,79191.26,14.71,539.15,
01/2024,170127,6001013775007,27/01/2015,2234410.13,606.99,32372.28,
01/2024,784320,0921002715007,19/05/2005,35000.00,35.52,3922.84,
01/2024,153045,1389008975007,31/12/2014,564420.46,154.60,8312.09,
01/2024,153045,1389008435002,31/12/2014,186312.03,51.03,2743.77,
01/2024,153045,1389008415001,31/12/2014,129929.97,35.59,1913.45,
01/2024,153045,1389008405006,31/12/2014,101781.39,27.88,1498.91,
01/2024,153045,1389008385005,31/12/2014,1186854.38,325.08,17478.53,
01/2024,153045,1389008375000,31/12/2014,847057.48,232.01,12474.42,
01/2024,153045,1389008365004,31/12/2014,333021.57,91.21,4904.33,
01/2024,153045,1389008355009,31/12/2014,88930.00,24.36,1309.65,
01/2024,153045,1389011945008,31/12/2014,6242761.40,1709.89,91935.69,
01/2024,153045,1389008345003,31/12/2014,2765912.33,757.59,40732.95,
01/2024,153045,1389008425007,31/12/2014,120455.75,32.99,1773.92,
01/2024,153045,1389008395000,31/12/2014,807968.48,221.30,11898.76,
01/2024,393018,5637000045009,07/01/2022,870000.00,53.28,661.63,
01/2024,255002,2833000125006,16/01/2020,63997.58,13.92,334.89,
01/2024,120260,9701075255008,30/03/2016,216984.75,92.01,4272.05,
01/2024,160065,9701023065003,28/12/2000,76245.82,95.59,13027.09,
01/2024,154043,5403000315009,29/12/2022,6496643.37,206.10,1376.61,
01/2024,170021,9701039735003,01/12/2014,232830.94,115.55,6268.68,
01/2024,153063,0411003485006,30/12/2005,1429066.80,781.11,83422.71,
01/2024,784320,0803000295006,23/03/2016,171630.78,72.96,3395.65,
01/2024,160298,5819000125007,29/06/2015,304.51,0.14,7.20,
01/2024,170098,5219000015009,10/01/2022,685184.53,41.79,516.94,
01/2024,120260,9701092935003,30/03/2016,150142.10,63.66,2956.03,
01/2024,120260,9701090005009,30/03/2016,223490.29,94.77,4400.13,
01/2024,170127,6001034785001,25/03/2015,15325.47,7.35,385.00,
01/2024,120260,9701089295007,30/03/2016,120116.31,50.94,2364.88,
01/2024,120260,9701088345000,30/03/2016,204528.68,86.73,4026.81,
01/2024,130074,8841003235000,17/11/2022,5427.60,0.34,2.52,
01/2024,130074,8841000345000,17/11/2022,189173.01,11.96,87.97,
01/2024,201033,0017000145003,19/06/2017,121586.99,43.48,1706.10,
01/2024,154040,9701016945001,28/11/2022,1021598.21,62.90,451.60,
01/2024,154040,9701017935000,28/11/2022,1292707.31,79.60,571.45,
01/2024,154040,9701020765004,19/09/2015,192434.99,48.53,2404.06,
01/2024,154040,9701022385004,29/11/2022,306262.49,10.48,75.05,
01/2024,154040,9701024875009,29/11/2022,997643.02,61.28,438.96,
01/2024,154040,9701026005001,29/11/2022,976232.27,59.97,429.54,
01/2024,154040,9701026705003,29/11/2022,943360.25,57.95,415.08,
01/2024,154040,9701027645004,29/11/2022,930080.63,57.13,409.23,
01/2024,170036,1069000015000,24/12/2004,112944.23,117.09,13205.83,
01/2024,154040,9701060335000,29/11/2022,911115.00,55.97,400.89,
01/2024,154040,9701061275001,28/11/2022,698548.20,43.02,308.80,
01/2024,160298,5893000015006,26/10/2015,177.36,0.04,2.16,
01/2024,120260,9701081315009,30/03/2016,159675.76,67.72,3143.74,
01/2024,120260,9701082415007,30/03/2016,156055.53,66.18,3072.46,
01/2024,120260,9701084265002,30/03/2016,276481.00,117.25,5443.43,
01/2024,120260,9701085665004,21/05/2021,38456.80,5.55,89.62,
01/2024,120260,9701086725000,30/03/2016,255072.34,108.17,5021.93,
